Customer_ID,Customer_Name,Email,Signup_Date,Transaction_Date,Product_Category,Purchase_Amount,Payment_Method,Device
CUST-0171,Eve Nwachukwu,eve.green65@email.com,2023-01-02,2023-01-08,Jewelry,607.87,Bank Transfer,Tablet
CUST-0340,Jack Olatunji,jack.anderson915@email.com,2023-01-09,2023-01-09,Jewelry,1799.21,Apple Pay,Desktop
CUST-0413,Sam Young,sam.young715@email.com,2023-01-09,2023-01-09,Food & Grocery,16.34,Debit Card,Tablet
CUST-0100,Diana Williams,diana.williams203@email.com,2023-01-07,2023-01-12,Automotive,122.00,Debit Card,Desktop
CUST-0100,Diana Williams,diana.williams203@email.com,2023-01-07,2023-01-14,Automotive,704.04,Debit Card,Tablet
CUST-0344,Daniel Obaje,daniel.martinez767@email.com,2023-01-08,2023-01-17,Home & Garden,313.71,Apple Pay,Mobile
CUST-0295,Mia Davis,mia.davis909@email.com,2023-01-15,2023-01-19,Electronics,370.20,Google Pay,Mobile
CUST-0267,James Olatunji,james.anderson182@email.com,2023-01-31,2023-02-02,Toys & Games,120.07,Google Pay,Tablet
CUST-0265,Matthew Smith,matthew.smith140@email.com,2023-01-06,2023-02-03,Food & Grocery,215.28,Debit Card,Desktop
CUST-0265,Matthew Smith,matthew.smith140@email.com,2023-01-06,2023-02-04,Toys & Games,74.30,PayPal,Tablet
CUST-0188,Daniel Owem,daniel.gonzalez260@email.com,2023-01-01,2023-02-06,Sports & Outdoors,502.92,Credit Card,Mobile
CUST-0061,Charlotte Adewale,charlotte.moore489@email.com,2023-01-20,2023-02-11,Jewelry,2400.76,Credit Card,Mobile
CUST-0265,Matthew Smith,matthew.smith140@email.com,2023-01-06,2023-02-13,Beauty & Health,143.76,Apple Pay,Mobile
CUST-0166,Diana Garcia,diana.garcia453@email.com,2023-01-25,2023-02-14,Clothing,243.50,Apple Pay,Mobile
CUST-0395,Emma Johnson,emma.johnson719@email.com,2023-02-11,2023-02-16,Home & Garden,316.28,Debit Card,Mobile
CUST-0137,Rachel Lewis,rachel.lewis594@email.com,2023-02-15,2023-02-17,Books,21.97,Google Pay,Mobile
CUST-0344,Daniel Obaje,daniel.martinez767@email.com,2023-01-08,2023-02-21,Food & Grocery,123.48,Credit Card,Desktop
