student_id,first_name,middle_name,last_name,gender,date_of_birth,admission_date,class_level,study_group,attendance,disciplinary_count,suspension_count,family_income_level,daily_study_hours,daily_gaming_hours,computers_at_home,smartphone,has_job,mother_occupation,father_occupation,Agriculture,Geography,French,Economics,Biology,Igbo,History,Physics,Chemistry,Further Mathematics,Civic Education,Computer Science,Hausa,English Language,Government,Mathematics,Yoruba,Literature in English
ALA-20240729001,Obinna,,Okafor,M,2010-06-15,2024-07-29,10,Science,90.1,2,0,Low,2-3 Hours,2-3 Hours,2,Yes,Yes,Store Manager,Journalist,100,100,,,52,,,35,100,79,,11,,100,,0,,
ALA-20240712002,Kelechi,Bello,Musa,M,2008-01-20,2024-07-12,10,Arts,92.1,1,1,Upper Middle,More than 3 hours,More than 3 hours,3,Yes,Yes,Real Estate Agent,Mechanic,100,,,100,,,100,,,,100,,58,46,100,43,,91
ALA-20240809003,Temitope,,Nwosu,M,2010-02-22,2024-08-09,10,Science,91.1,0,0,Low,1-2 Hours,0-1 Hour,1,Yes,No,Professor,Architect,100,7,,,100,,,100,21,100,,34,,0,,57,,
ALA-20240818004,Adaeze,Abiodun,Ibrahim,F,2008-12-03,2024-08-18,10,Arts,87.9,0,0,High,1-2 Hours,0-1 Hour,2,Yes,No,Construction Worker,Tailor,78,,,46,,,98,,,,100,,,74,95,100,,12
ALA-20240801005,Nneka,,Obasanjo,F,2010-04-20,2024-08-01,10,Science,88.5,1,0,Upper Middle,1-2 Hours,0-1 Hour,3,Yes,No,At home,Musician,100,89,,,44,,,83,73,46,,95,,56,,100,,
ALA-20240818006,Ibrahim,,Bello,M,2010-01-18,2024-08-18,10,Arts,85.0,0,0,Low,2-3 Hours,0-1 Hour,2,Yes,No,Fisherman,Chef,100,,,77,,100,73,,,,92,,98,55,95,68,,38
ALA-20240821007,Nneka,Oluseyi,Ogunleye,F,2009-06-20,2024-08-21,10,Arts,91.5,0,0,Lower Middle,2-3 Hours,1-2 Hours,1,No,No,Chef,Plumber,81,,,100,,89,100,,,,60,,,46,73,56,,72
ALA-20240823008,Segun,,Ismail,M,2010-06-14,2024-08-23,10,Arts,85.5,0,0,Lower Middle,1-2 Hours,0-1 Hour,2,Yes,No,Construction Worker,Real Estate Agent,100,,,97,,100,100,,,,100,,,0,36,36,,37
ALA-20240922009,Chinedu,Oluseyi,Chukwuma,M,2007-04-27,2024-09-22,10,Arts,89.0,0,0,Lower Middle,1-2 Hours,2-3 Hours,1,Yes,No,At home,Pastor/Imam,6,,,100,,,69,,,,96,,,10,65,78,,67
ALA-20240922010,Damilola,Tunde,Nwachukwu,M,2008-01-08,2024-09-22,10,Science,94.9,1,0,Lower Middle,1-2 Hours,0-1 Hour,1,Yes,No,Painter,Store Manager,39,100,,,100,,,100,100,100,,60,,17,,100,,
ALA-20240913011,Emeka,,Bello,M,2011-12-18,2024-09-13,10,Arts,92.9,1,0,Upper Middle,More than 3 hours,0-1 Hour,1,Yes,No,At home,IT Specialist,57,,,100,,,100,,,,100,,,63,92,83,,100
ALA-20240702012,Titilayo,,Nwankwo,F,2010-07-07,2024-07-02,10,Arts,96.2,0,0,Upper Middle,2-3 Hours,2-3 Hours,0,No,No,Professor,Banker,100,,,34,,,92,,,,100,,,69,100,100,100,100
ALA-20240801013,Gbenga,Ngozi,Ibrahim,M,2006-06-25,2024-08-01,10,Science,97.1,0,0,Upper Middle,More than 3 hours,2-3 Hours,1,Yes,No,Driver,Pastor/Imam,100,100,,,41,,,19,100,66,,50,,17,,100,,
ALA-20240728014,Adebayo,Onyeka,Nwankwo,M,2008-02-18,2024-07-28,10,Arts,81.9,0,0,Upper Middle,2-3 Hours,0-1 Hour,1,Yes,No,Driver,Artist,100,,,100,,,40,,,,87,,,87,100,92,100,100
ALA-20240831015,Abiodun,,Adewale,M,2009-09-14,2024-08-31,10,Arts,82.7,1,0,Lower Middle,0-1 Hour,1-2 Hours,1,Yes,No,At home,Secretary,100,,,70,,,100,,,,24,,,35,100,100,100,100
ALA-20240926016,Maryam,Folake,Adegoke,F,2011-02-24,2024-09-26,10,Arts,98.2,0,0,Lower Middle,2-3 Hours,0-1 Hour,0,Yes,No,Police Officer,Real Estate Agent,94,,,100,,38,29,,,,39,,,100,60,17,,100
ALA-20240913017,Chibuike,Tunde,Olanrewaju,M,2009-08-24,2024-09-13,10,Arts,90.0,1,1,Low,More than 3 hours,0-1 Hour,0,Yes,No,Teacher,Nurse,9,,100,71,,,72,,,,52,,28,85,66,80,,100
ALA-20240826018,Bunmi,Segun,Onwuka,F,2010-08-22,2024-08-26,10,Science,90.1,0,0,High,1-2 Hours,1-2 Hours,2,Yes,No,Painter,At home,100,98,,,57,,,80,94,64,,69,,100,,65,,
ALA-20240809019,Chinedu,Adewale,Oluwaseun,M,2008-11-25,2024-08-09,10,Science,90.0,1,0,Lower Middle,1-2 Hours,0-1 Hour,2,Yes,No,Engineer,Pastor/Imam,100,64,,,65,,,50,100,100,,94,,100,,100,,
ALA-20240701020,Folake,,Oluwaseun,F,2011-02-28,2024-07-01,10,Arts,80.6,0,0,Lower Middle,2-3 Hours,1-2 Hours,1,Yes,No,Contractor,Secretary,100,,,97,,,54,,,,91,,,100,66,58,100,100
